Date,SP500
12/12/2014,2002.33
11/12/2014,2035.33
10/12/2014,2026.14
09/12/2014,2059.82
08/12/2014,2060.31
05/12/2014,2075.37
04/12/2014,2071.92
03/12/2014,2074.33
02/12/2014,2066.55
01/12/2014,2053.44
28/11/2014,2067.56
26/11/2014,2072.83
25/11/2014,2067.03
24/11/2014,2069.41
21/11/2014,2063.5
20/11/2014,2052.75
19/11/2014,2048.72
18/11/2014,2051.8
17/11/2014,2041.32
14/11/2014,2039.82
13/11/2014,2039.33
12/11/2014,2038.25
11/11/2014,2039.68
10/11/2014,2038.26
07/11/2014,2031.92
06/11/2014,2031.21
05/11/2014,2023.57
04/11/2014,2012.1
03/11/2014,2017.81
31/10/2014,2018.05
30/10/2014,1994.65
29/10/2014,1982.3
28/10/2014,1985.05
27/10/2014,1961.63
24/10/2014,1964.58
23/10/2014,1950.82
22/10/2014,1927.11
21/10/2014,1941.28
20/10/2014,1904.01
17/10/2014,1886.76
16/10/2014,1862.76
15/10/2014,1862.49
14/10/2014,1877.7
13/10/2014,1874.74
10/10/2014,1906.13
09/10/2014,1928.21
08/10/2014,1968.89
07/10/2014,1935.1
06/10/2014,1964.82
03/10/2014,1967.9
02/10/2014,1946.17
01/10/2014,1946.16
30/09/2014,1972.29
29/09/2014,1977.8
26/09/2014,1982.85
25/09/2014,1965.99
24/09/2014,1998.3
23/09/2014,1982.77
22/09/2014,1994.29
19/09/2014,2010.4
18/09/2014,2011.36
17/09/2014,2001.57
16/09/2014,1998.98
15/09/2014,1984.13
12/09/2014,1985.54
11/09/2014,1997.45
10/09/2014,1995.69
09/09/2014,1988.44
08/09/2014,2001.54
05/09/2014,2007.71
04/09/2014,1997.65
03/09/2014,2000.72
02/09/2014,2002.28
29/08/2014,2003.37
28/08/2014,1996.74
27/08/2014,2000.12
26/08/2014,2000.02
25/08/2014,1997.92
22/08/2014,1988.4
21/08/2014,1992.37
20/08/2014,1986.51
19/08/2014,1981.6
18/08/2014,1971.74
15/08/2014,1955.06
14/08/2014,1955.18
13/08/2014,1946.72
12/08/2014,1933.75
11/08/2014,1936.92
08/08/2014,1931.59
07/08/2014,1909.57
06/08/2014,1920.24
05/08/2014,1920.21
04/08/2014,1938.99
01/08/2014,1925.15
31/07/2014,1930.67
30/07/2014,1970.07
29/07/2014,1969.95
28/07/2014,1978.91
25/07/2014,1978.34
24/07/2014,1987.98
23/07/2014,1987.01
22/07/2014,1983.53
21/07/2014,1973.63
18/07/2014,1978.22
17/07/2014,1958.12
16/07/2014,1981.57
15/07/2014,1973.28
14/07/2014,1977.1
11/07/2014,1967.57
10/07/2014,1964.68
09/07/2014,1972.83
08/07/2014,1963.71
07/07/2014,1977.65
03/07/2014,1985.44
02/07/2014,1974.62
01/07/2014,1973.32
30/06/2014,1960.23
27/06/2014,1960.96
26/06/2014,1957.22
25/06/2014,1959.53
24/06/2014,1949.98
23/06/2014,1962.61
20/06/2014,1962.87
19/06/2014,1959.48
18/06/2014,1956.98
17/06/2014,1941.99
16/06/2014,1937.78
13/06/2014,1936.16
12/06/2014,1930.11
11/06/2014,1943.89
10/06/2014,1950.79
09/06/2014,1951.27
06/06/2014,1949.44
05/06/2014,1940.46
04/06/2014,1927.88
03/06/2014,1924.24
02/06/2014,1924.97
30/05/2014,1923.57
29/05/2014,1920.03
28/05/2014,1909.78
27/05/2014,1911.91
23/05/2014,1900.53
22/05/2014,1892.49
21/05/2014,1888.03
20/05/2014,1872.83
19/05/2014,1885.08
16/05/2014,1877.86
15/05/2014,1870.85
14/05/2014,1888.53
13/05/2014,1897.45
12/05/2014,1896.65
09/05/2014,1878.48
08/05/2014,1875.63
07/05/2014,1878.21
06/05/2014,1867.72
05/05/2014,1884.66
02/05/2014,1881.14
01/05/2014,1883.68
30/04/2014,1883.95
29/04/2014,1878.33
28/04/2014,1869.43
25/04/2014,1863.4
24/04/2014,1878.61
23/04/2014,1875.39
22/04/2014,1879.55
21/04/2014,1871.89
17/04/2014,1864.85
16/04/2014,1862.31
15/04/2014,1842.98
14/04/2014,1830.61
11/04/2014,1815.69
10/04/2014,1833.08
09/04/2014,1872.18
08/04/2014,1851.96
07/04/2014,1845.04
04/04/2014,1865.09
03/04/2014,1888.77
02/04/2014,1890.9
01/04/2014,1885.52
31/03/2014,1872.34
28/03/2014,1857.62
27/03/2014,1849.04
26/03/2014,1852.56
25/03/2014,1865.62
24/03/2014,1857.44
21/03/2014,1866.52
20/03/2014,1872.01
19/03/2014,1860.77
18/03/2014,1872.25
17/03/2014,1858.83
14/03/2014,1841.13
13/03/2014,1846.34
12/03/2014,1868.2
11/03/2014,1867.63
10/03/2014,1877.17
07/03/2014,1878.04
06/03/2014,1877.03
05/03/2014,1873.81
04/03/2014,1873.91
03/03/2014,1845.73
28/02/2014,1859.45
27/02/2014,1854.29
26/02/2014,1845.16
25/02/2014,1845.12
24/02/2014,1847.61
21/02/2014,1836.25
20/02/2014,1839.78
19/02/2014,1828.75
18/02/2014,1840.76
14/02/2014,1838.63
13/02/2014,1829.83
12/02/2014,1819.26
11/02/2014,1819.75
10/02/2014,1799.84
07/02/2014,1797.02
06/02/2014,1773.43
05/02/2014,1751.64
04/02/2014,1755.2
03/02/2014,1741.89
31/01/2014,1782.59
30/01/2014,1794.19
29/01/2014,1774.2
28/01/2014,1792.5
27/01/2014,1781.56
24/01/2014,1790.29
23/01/2014,1828.46
22/01/2014,1844.86
21/01/2014,1843.8
17/01/2014,1838.7
16/01/2014,1845.89
15/01/2014,1848.38
14/01/2014,1838.88
13/01/2014,1819.2
10/01/2014,1842.37
09/01/2014,1838.13
08/01/2014,1837.49
07/01/2014,1837.88
06/01/2014,1826.77
03/01/2014,1831.37
02/01/2014,1831.98
31/12/2013,1848.36
30/12/2013,1841.07
27/12/2013,1841.4
26/12/2013,1842.02
24/12/2013,1833.32
23/12/2013,1827.99
20/12/2013,1818.32
19/12/2013,1809.6
18/12/2013,1810.65
17/12/2013,1781
16/12/2013,1786.54
13/12/2013,1775.32
12/12/2013,1775.5
11/12/2013,1782.22
10/12/2013,1802.62
09/12/2013,1808.37
06/12/2013,1805.09
05/12/2013,1785.03
04/12/2013,1792.81
03/12/2013,1795.15
02/12/2013,1800.9
29/11/2013,1805.81
27/11/2013,1807.23
26/11/2013,1802.75
25/11/2013,1802.48
22/11/2013,1804.76
21/11/2013,1795.85
20/11/2013,1781.37
19/11/2013,1787.87
18/11/2013,1791.53
15/11/2013,1798.18
14/11/2013,1790.62
13/11/2013,1782
12/11/2013,1767.69
11/11/2013,1771.89
08/11/2013,1770.61
07/11/2013,1747.15
06/11/2013,1770.49
05/11/2013,1762.97
04/11/2013,1767.93
01/11/2013,1761.64
31/10/2013,1756.54
30/10/2013,1763.31
29/10/2013,1771.95
28/10/2013,1762.11
25/10/2013,1759.77
24/10/2013,1752.07
23/10/2013,1746.38
22/10/2013,1754.67
21/10/2013,1744.66
18/10/2013,1744.5
17/10/2013,1733.15
16/10/2013,1721.54
15/10/2013,1698.06
14/10/2013,1710.14
11/10/2013,1703.2
10/10/2013,1692.56
09/10/2013,1656.4
08/10/2013,1655.45
07/10/2013,1676.12
04/10/2013,1690.5
03/10/2013,1678.66
02/10/2013,1693.87
01/10/2013,1695
30/09/2013,1681.55
27/09/2013,1691.75
26/09/2013,1698.67
25/09/2013,1692.77
24/09/2013,1697.42
23/09/2013,1701.84
20/09/2013,1709.91
19/09/2013,1722.34
18/09/2013,1725.52
17/09/2013,1704.76
16/09/2013,1697.6
13/09/2013,1687.99
12/09/2013,1683.42
11/09/2013,1689.13
10/09/2013,1683.99
09/09/2013,1671.71
06/09/2013,1655.17
05/09/2013,1655.08
04/09/2013,1653.08
03/09/2013,1639.77
30/08/2013,1632.97
29/08/2013,1638.17
28/08/2013,1634.96
27/08/2013,1630.48
26/08/2013,1656.78
23/08/2013,1663.5
22/08/2013,1656.96
21/08/2013,1642.8
20/08/2013,1652.35
19/08/2013,1646.06
16/08/2013,1655.83
15/08/2013,1661.32
14/08/2013,1685.39
13/08/2013,1694.16
12/08/2013,1689.47
09/08/2013,1691.42
08/08/2013,1697.48
07/08/2013,1690.91
06/08/2013,1697.37
05/08/2013,1707.14
02/08/2013,1709.67
01/08/2013,1706.87
31/07/2013,1685.72
30/07/2013,1685.96
29/07/2013,1685.33
26/07/2013,1691.65
25/07/2013,1690.25
24/07/2013,1685.94
23/07/2013,1692.39
22/07/2013,1695.53
19/07/2013,1692.09
18/07/2013,1689.37
17/07/2013,1680.91
16/07/2013,1676.26
15/07/2013,1682.5
12/07/2013,1680.19
11/07/2013,1675.02
10/07/2013,1652.62
09/07/2013,1652.32
08/07/2013,1640.46
05/07/2013,1631.89
03/07/2013,1615.41
02/07/2013,1614.08
01/07/2013,1614.96
28/06/2013,1606.28
27/06/2013,1613.2
26/06/2013,1603.26
25/06/2013,1588.03
24/06/2013,1573.09
21/06/2013,1592.43
20/06/2013,1588.19
19/06/2013,1628.93
18/06/2013,1651.81
17/06/2013,1639.04
14/06/2013,1626.73
13/06/2013,1636.36
12/06/2013,1612.52
11/06/2013,1626.13
10/06/2013,1642.81
07/06/2013,1643.38
06/06/2013,1622.56
05/06/2013,1608.9
04/06/2013,1631.38
03/06/2013,1640.42
31/05/2013,1630.74
30/05/2013,1654.41
29/05/2013,1648.36
28/05/2013,1660.06
24/05/2013,1649.6
23/05/2013,1650.51
22/05/2013,1655.35
21/05/2013,1669.16
20/05/2013,1666.29
17/05/2013,1667.47
16/05/2013,1650.47
15/05/2013,1658.78
14/05/2013,1650.34
13/05/2013,1633.77
10/05/2013,1633.7
09/05/2013,1626.67
08/05/2013,1632.69
07/05/2013,1625.96
06/05/2013,1617.5
03/05/2013,1614.42
02/05/2013,1597.59
01/05/2013,1582.7
30/04/2013,1597.57
29/04/2013,1593.61
26/04/2013,1582.24
25/04/2013,1585.16
24/04/2013,1578.79
23/04/2013,1578.78
22/04/2013,1562.5
19/04/2013,1555.25
